country_name,year (2020),total_fertility_rate (2020),,,country_name,year (2021),total_fertility_rate (2021),,Min rate 2020,Min rate 2021
Russia,2020,1.6047,,,Russia,2021,1.6046,,,
Saudi Arabia,2020,1.9517,,,Saudi Arabia,2021,1.9091,,,
Saint Pierre and Miquelon,2020,1.582,,,Saint Pierre and Miquelon,2021,1.5859,,,
Saint Kitts and Nevis,2020,1.7681,,,Saint Kitts and Nevis,2021,1.7659,,,
Seychelles,2020,1.83,,,Seychelles,2021,1.824,,,
"Saint Helena, Ascension, and Tristan da Cunha",2020,1.5964,,,"Saint Helena, Ascension, and Tristan da Cunha",2021,1.5999,,,
Slovenia,2020,1.5876,,,Slovenia,2021,1.5913,,,
San Marino,2020,1.5225,,,San Marino,2021,1.5284,,,
Singapore,2020,0.8652,,,Singapore,2021,0.8763,,,
Spain,2020,1.5119,,,Spain,2021,1.5173,,,
Saint Lucia,2020,1.73,,,Saint Lucia,2021,1.726,,,
Sweden,2020,1.8667,,,Sweden,2021,1.8618,,,
Switzerland,2020,1.5707,,,Switzerland,2021,1.5758,,,
Saint Barthelemy,2020,1.6366,,,Saint Barthelemy,2021,1.6374,,,
Thailand,2020,1.5358,,,Thailand,2021,1.5413,,,
Tunisia,2020,2.06,,,Tunisia,2021,2.028,,,
Turkey,2020,1.96,,,Turkey,2021,1.944,,,
Taiwan,2020,1.1421,,,Taiwan,2021,1.1474,,,
Turkmenistan,2020,2.04,,,Turkmenistan,2021,2.036,,,
Curacao,2020,2,,,Curacao,2021,1.99,,,
United Kingdom,2020,1.8641,,,United Kingdom,2021,1.8586,,,
Ukraine,2020,1.5585,,,Ukraine,2021,1.5632,,,
United States,2020,1.871182513,,,United States,2021,1.870368556,,,
Uruguay,2020,1.77,,,Uruguay,2021,1.764,,,
Uzbekistan,2020,1.736,,,Uzbekistan,2021,1.732,,,
Saint Vincent and the Grenadines,2020,1.76,,,Saint Vincent and the Grenadines,2021,1.754,,,
"Virgin Islands, British",2020,1.3268,,,"Virgin Islands, British",2021,1.3396,,,
Vietnam,2020,1.77,,,Vietnam,2021,1.764,,,
"Virgin Islands, U.S.",2020,2.03,,,"Virgin Islands, U.S.",2021,2.014,,,
Wallis and Futuna,2020,1.7133,,,Wallis and Futuna,2021,1.71,,,
Trinidad and Tobago,2020,1.7003,,,Trinidad and Tobago,2021,1.7003,,,
Turks and Caicos Islands,2020,1.7,,,Turks and Caicos Islands,2021,1.7,,,
