country_name,year (2020),sex_ratio_at_birth (2020), year (2021), sex_ratio_at_birth (2021)
Panama,2020,1.0448,2021,1.0448
Papua New Guinea,2020,1.05,2021,1.05
Paraguay,2020,1.05,2021,1.05
Peru,2020,1.0458,2021,1.0458
Philippines,2020,1.05,2021,1.05
Poland,2020,1.0594,2021,1.0594
Portugal,2020,1.0473,2021,1.0473
Puerto Rico,2020,1.0589,2021,1.0589
Qatar,2020,1.024,2021,1.0241
Romania,2020,1.06,2021,1.06
Russia,2020,1.06,2021,1.06
Rwanda,2020,1.03,2021,1.03
Saint Barthelemy,2020,1.0625,2021,1.0625
"Saint Helena, Ascension, and Tristan da Cunha",2020,1.0556,2021,1.0556
Saint Kitts and Nevis,2020,1.0208,2021,1.021
Saint Lucia,2020,1.0562,2021,1.0562
Saint Martin,2020,1.0393,2021,1.0396
Saint Pierre and Miquelon,2020,1.0588,2021,1.0588
Saint Vincent and the Grenadines,2020,1.0301,2021,1.0305
Samoa,2020,1.0504,2021,1.0499
San Marino,2020,1.0903,2021,1.089
Sao Tome and Principe,2020,1.0301,2021,1.0301
Saudi Arabia,2020,1.05,2021,1.05
Senegal,2020,1.03,2021,1.03
Serbia,2020,1.065,2021,1.065
Seychelles,2020,1.0314,2021,1.0302
Sierra Leone,2020,1.03,2021,1.03
Singapore,2020,1.0729,2021,1.0729
Sint Maarten,2020,1.0469,2021,1.0505
Slovakia,2020,1.0673,2021,1.0672
Slovenia,2020,1.0387,2021,1.0388
Solomon Islands,2020,1.05,2021,1.0501
Somalia,2020,1.03,2021,1.03
South Africa,2020,1.02,2021,1.02
South Sudan,2020,1.05,2021,1.05
Spain,2020,1.065,2021,1.065
Sri Lanka,2020,1.04,2021,1.04
Sudan,2020,1.05,2021,1.05
Suriname,2020,1.05,2021,1.0499
Sweden,2020,1.0575,2021,1.0575
Switzerland,2020,1.059,2021,1.059
Syria,2020,1.06,2021,1.06
Taiwan,2020,1.06,2021,1.06
Tajikistan,2020,1.05,2021,1.05
Tanzania,2020,1.03,2021,1.03
Thailand,2020,1.0535,2021,1.0535
Timor-Leste,2020,1.066,2021,1.066
Togo,2020,1.03,2021,1.03
Tonga,2020,1.0301,2021,1.0306
Trinidad and Tobago,2020,1.028,2021,1.0282
Tunisia,2020,1.064,2021,1.064
Turkey,2020,1.05,2021,1.05
Turkmenistan,2020,1.05,2021,1.05
Turks and Caicos Islands,2020,1.0492,2021,1.0495
Tuvalu,2020,1.0543,2021,1.0465
Uganda,2020,1.03,2021,1.03
Ukraine,2020,1.064,2021,1.064
United Arab Emirates,2020,1.0596,2021,1.0596
United Kingdom,2020,1.0519,2021,1.0519
Uruguay,2020,1.0366,2021,1.0366
Uzbekistan,2020,1.06,2021,1.06
Vanuatu,2020,1.05,2021,1.05
Venezuela,2020,1.05,2021,1.05
Vietnam,2020,1.085,2021,1.08
"Virgin Islands, British",2020,1.0495,2021,1.0534
"Virgin Islands, U.S.",2020,1.0579,2021,1.0594
Wallis and Futuna,2020,1.051,2021,1.0515
West Bank,2020,1.06,2021,1.06
Western Sahara,2020,1.04,2021,1.04
Yemen,2020,1.05,2021,1.05
Zambia,2020,1.03,2021,1.03
Zimbabwe,2020,1.03,2021,1.03
