country_name,year (2020),sex_ratio_at_birth (2020),,,country_name,year (2021),sex_ratio_at_birth (2021),,Min SRB 2020,Min SRB 2021
Israel,2020,1.05,,,Israel,2021,1.05,,,
Italy,2020,1.059,,,Italy,2021,1.059,,,
Cote d'Ivoire,2020,1.03,,,Cote d'Ivoire,2021,1.03,,,
Iraq,2020,1.05,,,Iraq,2021,1.05,,,
Japan,2020,1.056,,,Japan,2021,1.056,,,
Jersey,2020,1.0595,,,Jersey,2021,1.0607,,,
Jamaica,2020,1.05,,,Jamaica,2021,1.05,,,
Jordan,2020,1.06,,,Jordan,2021,1.06,,,
Kenya,2020,1.02,,,Kenya,2021,1.02,,,
Kyrgyzstan,2020,1.067,,,Kyrgyzstan,2021,1.067,,,
"Korea, North",2020,1.06,,,"Korea, North",2021,1.06,,,
Kiribati,2020,1.0501,,,Kiribati,2021,1.0498,,,
"Korea, South",2020,1.054,,,"Korea, South",2021,1.0542,,,
Kuwait,2020,1.0463,,,Kuwait,2021,1.0465,,,
Kosovo,2020,1.0796,,,Kosovo,2021,1.0789,,,
Laos,2020,1.04,,,Laos,2021,1.04,,,
Lebanon,2020,1.05,,,Lebanon,2021,1.05,,,
Latvia,2020,1.05,,,Latvia,2021,1.0499,,,
Lithuania,2020,1.057,,,Lithuania,2021,1.057,,,
Liberia,2020,1.03,,,Liberia,2021,1.03,,,
Slovakia,2020,1.0673,,,Slovakia,2021,1.0672,,,
Liechtenstein,2020,1.2556,,,Liechtenstein,2021,1.2541,,,
Lesotho,2020,1.03,,,Lesotho,2021,1.03,,,
Luxembourg,2020,1.0581,,,Luxembourg,2021,1.0582,,,
Libya,2020,1.05,,,Libya,2021,1.05,,,
Madagascar,2020,1.03,,,Madagascar,2021,1.03,,,
Macau,2020,1.0497,,,Macau,2021,1.0498,,,
Moldova,2020,1.064,,,Moldova,2021,1.064,,,
Mongolia,2020,1.05,,,Mongolia,2021,1.05,,,
Montserrat,2020,1.0323,,,Montserrat,2021,1.0323,,,
Malawi,2020,1.015,,,Malawi,2021,1.015,,,
Montenegro,2020,1.0351,,,Montenegro,2021,1.0351,,,
Macedonia,2020,1.066,,,Macedonia,2021,1.0659,,,
Mali,2020,1.03,,,Mali,2021,1.03,,,
Monaco,2020,1.0309,,,Monaco,2021,1.0417,,,
Morocco,2020,1.05,,,Morocco,2021,1.05,,,
Mauritius,2020,1.05,,,Mauritius,2021,1.05,,,
Mauritania,2020,1.03,,,Mauritania,2021,1.03,,,
Malta,2020,1.0427,,,Malta,2021,1.0428,,,
Oman,2020,1.05,,,Oman,2021,1.05,,,
Maldives,2020,1.0498,,,Maldives,2021,1.0501,,,
Mexico,2020,1.05,,,Mexico,2021,1.05,,,
Malaysia,2020,1.0694,,,Malaysia,2021,1.0694,,,
Mozambique,2020,1.017,,,Mozambique,2021,1.017,,,
New Caledonia,2020,1.0498,,,New Caledonia,2021,1.0501,,,
Niger,2020,1.03,,,Niger,2021,1.03,,,
Vanuatu,2020,1.05,,,Vanuatu,2021,1.05,,,
Nigeria,2020,1.06,,,Nigeria,2021,1.06,,,
Netherlands,2020,1.051,,,Netherlands,2021,1.051,,,
Sint Maarten,2020,1.0469,,,Sint Maarten,2021,1.0505,,,
Norway,2020,1.0549,,,Norway,2021,1.055,,,
Nepal,2020,1.06,,,Nepal,2021,1.06,,,
Suriname,2020,1.05,,,Suriname,2021,1.0499,,,
Nicaragua,2020,1.05,,,Nicaragua,2021,1.05,,,
New Zealand,2020,1.048,,,New Zealand,2021,1.048,,,
South Sudan,2020,1.05,,,South Sudan,2021,1.05,,,
Paraguay,2020,1.05,,,Paraguay,2021,1.05,,,
Peru,2020,1.0458,,,Peru,2021,1.0458,,,
Pakistan,2020,1.05,,,Pakistan,2021,1.05,,,
Poland,2020,1.0594,,,Poland,2021,1.0594,,,
Panama,2020,1.0448,,,Panama,2021,1.0448,,,
Portugal,2020,1.0473,,,Portugal,2021,1.0473,,,
Papua New Guinea,2020,1.05,,,Papua New Guinea,2021,1.05,,,
Palau,2020,1.0678,,,Palau,2021,1.0588,,,
Guinea-Bissau,2020,1.03,,,Guinea-Bissau,2021,1.03,,,
Qatar,2020,1.024,,,Qatar,2021,1.0241,,,
Serbia,2020,1.065,,,Serbia,2021,1.065,,,
Marshall Islands,2020,1.0509,,,Marshall Islands,2021,1.05,,,
Saint Martin,2020,1.0393,,,Saint Martin,2021,1.0396,,,
Romania,2020,1.06,,,Romania,2021,1.06,,,
Philippines,2020,1.05,,,Philippines,2021,1.05,,,
Puerto Rico,2020,1.0589,,,Puerto Rico,2021,1.0589,,,
Russia,2020,1.06,,,Russia,2021,1.06,,,
Rwanda,2020,1.03,,,Rwanda,2021,1.03,,,
Saudi Arabia,2020,1.05,,,Saudi Arabia,2021,1.05,,,
Saint Pierre and Miquelon,2020,1.0588,,,Saint Pierre and Miquelon,2021,1.0588,,,
Saint Kitts and Nevis,2020,1.0208,,,Saint Kitts and Nevis,2021,1.021,,,
Seychelles,2020,1.0314,,,Seychelles,2021,1.0302,,,
South Africa,2020,1.02,,,South Africa,2021,1.02,,,
Senegal,2020,1.03,,,Senegal,2021,1.03,,,
"Saint Helena, Ascension, and Tristan da Cunha",2020,1.0556,,,"Saint Helena, Ascension, and Tristan da Cunha",2021,1.0556,,,
Slovenia,2020,1.0387,,,Slovenia,2021,1.0388,,,
Sierra Leone,2020,1.03,,,Sierra Leone,2021,1.03,,,
San Marino,2020,1.0903,,,San Marino,2021,1.089,,,
Singapore,2020,1.0729,,,Singapore,2021,1.0729,,,
Somalia,2020,1.03,,,Somalia,2021,1.03,,,
Spain,2020,1.065,,,Spain,2021,1.065,,,
Saint Lucia,2020,1.0562,,,Saint Lucia,2021,1.0562,,,
Sudan,2020,1.05,,,Sudan,2021,1.05,,,
Sweden,2020,1.0575,,,Sweden,2021,1.0575,,,
Syria,2020,1.06,,,Syria,2021,1.06,,,
Switzerland,2020,1.059,,,Switzerland,2021,1.059,,,
Saint Barthelemy,2020,1.0625,,,Saint Barthelemy,2021,1.0625,,,
Thailand,2020,1.0535,,,Thailand,2021,1.0535,,,
Tajikistan,2020,1.05,,,Tajikistan,2021,1.05,,,
Tonga,2020,1.0301,,,Tonga,2021,1.0306,,,
Togo,2020,1.03,,,Togo,2021,1.03,,,
Sao Tome and Principe,2020,1.0301,,,Sao Tome and Principe,2021,1.0301,,,
Tunisia,2020,1.064,,,Tunisia,2021,1.064,,,
Timor-Leste,2020,1.066,,,Timor-Leste,2021,1.066,,,
Turkey,2020,1.05,,,Turkey,2021,1.05,,,
Tuvalu,2020,1.0543,,,Tuvalu,2021,1.0465,,,
Taiwan,2020,1.06,,,Taiwan,2021,1.06,,,
Turkmenistan,2020,1.05,,,Turkmenistan,2021,1.05,,,
Tanzania,2020,1.03,,,Tanzania,2021,1.03,,,
Curacao,2020,1.0505,,,Curacao,2021,1.0497,,,
Uganda,2020,1.03,,,Uganda,2021,1.03,,,
United Kingdom,2020,1.0519,,,United Kingdom,2021,1.0519,,,
Ukraine,2020,1.064,,,Ukraine,2021,1.064,,,
Burkina Faso,2020,1.03,,,Burkina Faso,2021,1.03,,,
Uruguay,2020,1.0366,,,Uruguay,2021,1.0366,,,
Uzbekistan,2020,1.06,,,Uzbekistan,2021,1.06,,,
Saint Vincent and the Grenadines,2020,1.0301,,,Saint Vincent and the Grenadines,2021,1.0305,,,
Venezuela,2020,1.05,,,Venezuela,2021,1.05,,,
"Virgin Islands, British",2020,1.0495,,,"Virgin Islands, British",2021,1.0534,,,
Vietnam,2020,1.085,,,Vietnam,2021,1.08,,,
"Virgin Islands, U.S.",2020,1.0579,,,"Virgin Islands, U.S.",2021,1.0594,,,
Namibia,2020,1.03,,,Namibia,2021,1.03,,,
West Bank,2020,1.06,,,West Bank,2021,1.06,,,
Wallis and Futuna,2020,1.051,,,Wallis and Futuna,2021,1.0515,,,
Western Sahara,2020,1.04,,,Western Sahara,2021,1.04,,,
Samoa,2020,1.0504,,,Samoa,2021,1.0499,,,
Eswatini,2020,1.03,,,Eswatini,2021,1.03,,,
Yemen,2020,1.05,,,Yemen,2021,1.05,,,
Zambia,2020,1.03,,,Zambia,2021,1.03,,,
Zimbabwe,2020,1.03,,,Zimbabwe,2021,1.03,,,
Trinidad and Tobago,2020,1.028,,,Trinidad and Tobago,2021,1.0282,,,
Turks and Caicos Islands,2020,1.0492,,,Turks and Caicos Islands,2021,1.0495,,,
